Date,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,0,P,R
01/04/2004,00.00.00,1,6,1143,106.0,6.0,3,825,96,986,86,1477,978.0,12,0,61.0,6.0,8593.0
01/04/2004,01.00.00,1,2,1044,100.0,5.0,1,770,85,1031,70,1425,944.0,11,5,63.0,9.0,8652.0
01/04/2004,02.00.00,1,1,1034,71.0,4.0,1,716,50,1085,55,1405,891.0,10,7,67.0,2.0,8630.0
01/04/2004,03.00.00,0,9,956,72.0,4.0,0,713,-200,1099,-200,1422,849.0,9,0,73.0,1.0,8394.0
01/04/2004,04.00.00,0,7,909,44.0,2.0,4,615,57,1237,49,1322,790.0,10,2,66.0,6.0,8299.0
01/04/2004,05.00.00,0,9,996,45.0,2.0,9,648,64,1176,50,1340,852.0,11,0,63.0,7.0,8325.0
01/04/2004,06.00.00,1,7,1154,134.0,7.0,4,876,153,1002,67,1561,987.0,9,6,68.0,8.0,8243.0
01/04/2004,07.00.00,4,2,1510,505.0,19.0,8,1291,342,675,94,1949,1435.0,9,5,69.0,6.0,8273.0
01/04/2004,08.00.00,6,2,1722,1042.0,31.0,9,1595,378,539,119,2439,1798.0,11,9,60.0,9.0,8455.0
01/04/2004,09.00.00,4,6,1512,737.0,21.0,0,1323,304,631,139,2001,1677.0,16,2,48.0,6.0,8892.0
01/04/2004,10.00.00,2,8,1258,375.0,11.0,7,1040,192,800,113,1701,1282.0,19,2,39.0,6.0,8693.0
01/04/2004,11.00.00,1,6,1094,124.0,6.0,8,850,130,970,88,1489,871.0,19,7,38.0,4.0,8743.0
01/04/2004,12.00.00,1,7,1129,137.0,7.0,4,875,106,974,73,1524,759.0,20,6,36.0,7.0,8797.0
01/04/2004,13.00.00,1,7,1125,179.0,8.0,6,924,102,937,73,1542,790.0,21,8,33.0,9.0,8771.0
01/04/2004,14.00.00,1,7,-200,222.0,-200.0,0,-200,99,-200,72,-200,-200.0,-200,-200,-200.0,,
01/04/2004,15.00.00,1,9,-200,197.0,-200.0,0,-200,108,-200,81,-200,-200.0,-200,-200,-200.0,,
01/04/2004,16.00.00,2,3,-200,319.0,-200.0,0,-200,131,-200,93,-200,-200.0,-200,-200,-200.0,,
01/04/2004,17.00.00,3,3,1308,388.0,16.0,4,1193,163,793,106,1193,1187.0,23,6,27.0,5.0,7913.0
01/04/2004,18.00.00,4,2,1529,589.0,21.0,2,1331,211,700,132,2028,1399.0,22,8,32.0,1.0,8814.0
01/04/2004,19.00.00,5,5,1592,840.0,25.0,0,1429,267,624,164,2089,1644.0,20,8,36.0,7.0,8878.0
01/04/2004,20.00.00,4,9,1536,655.0,20.0,2,1302,269,666,161,1922,1599.0,18,3,40.0,9.0,8493.0
01/04/2004,21.00.00,2,5,1192,254.0,10.0,8,1007,154,827,124,1604,1223.0,16,8,44.0,0.0,8341.0
01/04/2004,22.00.00,2,1186,188,9.0,9.0,976,127,844,113,1570,1200,15.0,8,48,0.0,0.0,
01/04/2004,23.00.00,2,1203,120,8.0,5.0,920,122,898,103,1529,1118,14.0,9,52,0.0,0.0,
02/04/2004,00.00.00,2,1139,157,8.0,0.0,899,126,921,104,1514,1067,14.0,1,54,4.0,0.0,
02/04/2004,01.00.00,1,3,1072,88.0,5.0,6,795,84,986,93,1442,1048.0,13,3,58.0,8.0,8922.0
02/04/2004,02.00.00,1,954,68,3.0,2.0,667,58,1180,60,1350,718,13.0,3,60,9.0,0.0,
02/04/2004,03.00.00,0,9,951,57.0,3.0,3,673,-200,1137,-200,1381,797.0,11,8,64.0,3.0,8869.0
02/04/2004,04.00.00,-200,926,36,2.0,8.0,638,37,1195,52,1342,749,11.0,2,65,9.0,0.0,
02/04/2004,05.00.00,0,7,968,51.0,2.0,6,628,56,1197,66,1372,737.0,11,3,72.0,9.0,9738.0
02/04/2004,06.00.00,1,1,1067,93.0,4.0,3,727,91,1055,82,1448,903.0,11,4,71.0,8.0,9671.0
02/04/2004,07.00.00,2,6,1386,284.0,13.0,0,1083,159,798,109,1833,1159.0,11,9,73.0,7.0,254.0
02/04/2004,08.00.00,3,9,1474,486.0,20.0,3,1306,190,634,114,2060,1365.0,12,6,70.0,2.0,221.0
02/04/2004,09.00.00,5,1569,798,20.0,7.0,1316,249,634,139,2054,1510,13.0,6,65,3.0,1.0,
02/04/2004,10.00.00,3,3,1375,524.0,15.0,9,1177,196,706,127,1898,1386.0,16,9,52.0,3.0,13.0
02/04/2004,11.00.00,2,9,1328,468.0,14.0,2,1123,180,738,127,1821,1368.0,19,4,44.0,1.0,9855.0
02/04/2004,12.00.00,3,1,1341,454.0,15.0,9,1176,167,748,135,1825,1347.0,22,9,33.0,8.0,9322.0
02/04/2004,13.00.00,3,1297,461,16.0,1.0,1183,159,765,130,1773,1242,23.0,6,31,3.0,0.0,
02/04/2004,14.00.00,2,7,1303,391.0,14.0,7,1139,152,790,126,1761,1138.0,24,7,30.0,5.0,9371.0
02/04/2004,15.00.00,2,7,1281,337.0,14.0,0,1116,149,809,121,1703,1080.0,26,1,27.0,3.0,9101.0
02/04/2004,16.00.00,2,6,1248,297.0,13.0,6,1103,143,872,122,1632,1002.0,27,6,22.0,8.0,8288.0
02/04/2004,17.00.00,3,7,1382,588.0,19.0,7,1288,185,778,138,1799,1212.0,26,9,22.0,3.0,7792.0
